# Transcendence WIP DefRep

{ Reputation Name ,Action.Reputation,
  Order                   ,Zirax, Talon, Polaris, Pirates,  Kriel, Trader, Colonists, Xenu,   Rados, Epsilon, Ghyst,   Serdu, Abyssal,  Tesch,   Ziblon,   Galorian,   Vladian,   RoboticsSyndicate, Description
  AttackedMember          , -0.1,  -0.1,    -0.1,    -0.1,   -0.1,   -0.1,      -0.1, -0.1,    -0.1,    -0.1,  -0.1,    -0.1,    -0.1,   -0.1,   -0.1,  -0.1,         -0.1,   -0.1,  Drops to NeutralMin
  KilledMember            , -300,  -300,    -300,    -300,   -300,   -300,      -300, -300,    -300,    -300,  -300,    -300,    -300,   -300,   -300,  -300,         -300,   -300, NOT multiplied with damage points. Drops to UnfriendlyMax
  DestroyBlock            , -100,   -50,     -50,    -100,    -30,    -30,       -30,  -30,     -30,     -30,   -30,     -30,     -30,    -30,    -30,   -50,          -20,    -75,
  ShieldAttacked          ,  -50,   -30,     -30,     -30,    -30,    -30,       -30,  -30,     -30,     -30,   -30,     -30,     -30,    -30,    -30,   -50,          -10,    -30,
  OpenContainer           ,  -10,   -10,     -10,     -10,    -10,      0,       -20, -200,    -200,    -200,  -200,    -200,    -200,   -200,   -200,   -10,           -2,    -15,
  AttackedPrey            ,  0.1,  -0.1,       0,       0,    0.1,      0,         0,    0,       0,       0,     0,       0,       0,      0,      0,     0,            0,      0, multiplied with damage points
  AttackedPredator        ,  0.1,   0.3,     0.1,     0.1,    0.1,    0.1,       0.1,  0.1,     0.1,     0.1,   0.1,     0.1,     0.1,    0.1,    0.1,   0.1,          0.2,    0.1, multiplied with damage points
  StructSpawnedInTerritory, -100,  -100,    -100,    -100,   -100,   -100,      -100, -100,    -100,    -100,  -100,    -100,    -100,   -100,   -100,  -100,         -100,   -100,
  StructStayInTerritory   ,  -25,   -50,     -25,     -50,    -25,    -25,       -25,  -25,     -25,     -25,   -25,     -25,     -25,    -25,    -25,   -25,           -5,    -25, every 5min realtime and only WITH pilot 
  OreMined                ,    0,     0,       0,       0,      0,      0,         0,    0,     -20,     -20,   -20,     -20,     -20,    -20,    -20,   -20,           -5,    -20, about every 10 ores
